time,ax,ay,az,atotal
3.704665184020996,-0.32,-0.18,-0.12,0.38
3.715384006500244,-0.34,-0.16,-0.13,0.39
3.729310989379883,-0.36,-0.16,-0.15,0.42
3.734678030014038,-0.3,-0.16,-0.13,0.36
3.744641065597534,-0.2,-0.17,-0.14,0.29
3.75492525100708,-0.09,-0.23,-0.21,0.32
3.765263080596924,-0.03,-0.27,-0.19,0.33
3.775576114654541,-0.1,-0.67,-0.07,0.68
3.7850160598754883,-0.22,-0.87,-0.4,0.98
3.7945940494537354,-0.21,-0.32,-0.25,0.45
3.8047261238098145,-0.1,-0.08,-0.03,0.13
3.8145101070404053,-0.01,-0.08,0.02,0.08
3.8243041038513184,0.05,-0.23,-0.09,0.25
3.8351030349731445,0.07,-0.29,-0.19,0.35
3.843852996826172,0.04,-0.15,-0.17,0.23
3.854478120803833,-0.08,-0.01,-0.18,0.19
3.864345073699951,-0.15,0.07,-0.2,0.25
3.875307083129883,-0.16,0.11,-0.11,0.22
3.884939193725586,-0.2,0.17,0.03,0.26
3.894325017929077,-0.17,0.19,0.08,0.26
3.90433406829834,-0.16,0.17,0.06,0.24
3.914886951446533,-0.13,0.15,0.01,0.19
3.9257402420043945,-0.12,0.19,0.02,0.22
3.934627056121826,-0.15,0.19,0.02,0.24
3.943653106689453,-0.16,0.2,0.03,0.25
3.954277992248535,-0.12,0.15,-0.02,0.19
3.964677095413208,0.07,0.05,-0.15,0.17
3.9752490520477295,0.26,-0.06,-0.3,0.4
3.9849541187286377,0.29,-0.09,-0.18,0.35
3.994018077850342,0.17,-0.02,-0.05,0.17
4.004120111465454,0.04,0.03,0.09,0.1
4.01451301574707,-0.07,0.02,0.19,0.2
4.026553153991699,-0.13,-0.1,0.16,0.22
4.034852027893066,-0.2,-0.26,0.17,0.36
4.043814182281494,-0.28,-0.37,0.19,0.5
4.054008960723877,-0.29,-0.45,0.16,0.55
4.064402103424072,-0.23,-0.46,0.14,0.53
4.075374126434326,-0.14,-0.4,0.13,0.44
